test_id,chunk_id,source_chunk,question
11,c877c9d8-72a7-4acd-8017-0cc02de7604b,"Disregard for—and failure to honor—financial and other obliga- tions or commitments; lack of respect for—and lack of follow- through on—agreements and promises; carelessness with others’ property.

Acting on the spur of the moment in response to immediate stimuli; urgency and self—harming behavior under emotional distress.

Difficulty concentrating and focusing on tasks; attention is easily focused behavior, including both planning and completing tasks.

Engagement in dangerous, risky, and potentially self—damaging activities, unnecessarily and without regard to consequences; lack of concern for one’s limitations and denial of the reality of per- sonal danger; reckless pursuit of goals regardless of the level of risk involved.

Rigid insistence on everything being ﬂawless, perfect, and without errors or faults, including one’s own and others’ performance; sac- rificing of timeliness to ensure correctness in every detail; believ- ing that there is only one right way to do things; difficulty changing ideas and / or viewpoint; preoccupation with details, organization, and order. The lack of this facet characterizes low levels of Disinhibition.

TABLE 3 Definitions of DSM-S personality disorder trait domains

PSYCHOTICISM Exhibiting a wide range of culturally incongruent odd, eccentric, 01' (VS. Lucidity) unusual behaviors and cognitions, including both process (e.g., perception, dissociation) and content (e.g., beliefs).

Unusual beliefs and Belief that one has unusual abilities, such as mind reading, telekine- experiences sis, thought-action fusion, unusual experiences of reality, includ- ing hallucination-like experiences.

Eccentricity Odd, unusual, or bizarre behavior, appearance, and/ or speech; inappropriate things.

Cognitive and perceptual Odd or unusual thought processes and experiences, including depersonalization, derealization, and dissociative experiences; mixed sleep-wake state experiences; thought-control experiences.

Proposed criterla sets are presented for conditions on which future research is en- couraged. The specific items, thresholds, and durations contained in these research crite- ria sets were set by expert consensus—informed by literature review, data reanalysis, and field trial results, where available—and are intended to provide a common language for researchers and clinicians who are interested in studying these disorders.","According to the passage, what three trait categories are defined under the Psychoticism domain?"
12,f84bebf1-c11e-4524-933f-d1aca2642247,"Ninety-five percent of the UV rays that reach the earth’s surface are UVA rays. This radiation is less energetic (longer wavelength) than UVB rays and affects the cutaneous tissues differently. UVA waves pen-etrate deeper into the tissues, with 20% to 30% reaching the deep dermis. UVB rays are mostly absorbed in the epidermis, with 70% reaching the stratum corneum, 20% reaching the deep epidermis, and only 10% reaching the papillary dermis. Major chromophores in the cutaneous tissue include nucleic acids, aro-matic amino acids, and melanin.The short-term effects of solar radiation include erythema and pigmentation. The resultant erythema peaks at 6 to 24 hours Brunicardi_Ch16_p0511-p0540.indd   51819/02/19   3:08 PM 519THE SKIN AND SUBCUTANEOUS TISSUECHAPTER 16after exposure. The pigmentation occurs differently for UVA and UVB rays. Pigmentation occurs because of photooxidation of melanin by UVA radiation. Partial fading of this pigment change occurs within an hour after exposure, but with higher and repeated doses of UVA, stable residual pigmentation is observed. UVB waves induce neomelanization, increasing the total amount of melanin in the epidermal tissues and resulting in an effect that is observable 72 hours after exposure. The increase in melanin as a result of UVB exposure serves as a protective mechanism to defend the nuclei of the basal keratinocytes from further radiation-induced damage by absorbing the high-energy radiation in future exposures. Long-term effects of exposure to UV radiation can lead to chronic skin changes, such as irregular pigmentation, melasma, postinflammatory pigmentation, and actinic lentigines (sun spots). Lysozyme, an enzyme secreted by cells of the immune system, typically inhibits the activity of collagenase and elastase, playing a role in turnover of the elas-tin and collagen network of the dermis.",After how many hours does erythema peak following exposure to solar radiation?
13,8eb5e341-fd47-4c31-b271-deecf3b59df7,"In occasional patients, PH can coexist with trigeminal neuralgia (PH-tic syndrome); similar to cluster-tic syndrome, each component may require separate treatment.

Secondary PH has been reported with lesions in the region of the sella turcica, including arteriovenous malformation, cavernous sinus meningioma, pituitary pathology and epidermoid tumors. Secondary PH is more likely if the patient requires high doses (>200 mg/d) of indomethacin. In patients with apparent bilateral PH, raised cerebrospinal fluid (CSF) pressure should be suspected. It is important to note that indomethacin reduces CSF pressure. When a diagnosis of PH is considered, magnetic resonance imaging (MRI) is indicated to exclude a pituitary lesion.

SUNCT (short-lasting unilateral neuralgiform headache attacks with conjunctival injection and tearing) is a rare primary headache syndrome characterized by severe, unilateral orbital or temporal pain that is stabbing or throbbing in quality. Diagnosis requires at least 20 attacks, lasting for 5–240 s; ipsilateral conjunctival injection and lacrimation should be present. In some patients, conjunctival injection or lacrimation is missing, and the diagnosis of SUNA (short-lasting unilateral neuralgiform headache attacks with cranial autonomic symptoms) can be made.

DiAgnoSiS The pain of SUNCT/SUNA is unilateral and may be located anywhere in the head. Three basic patterns can be seen: single stabs, which are usually short-lived; groups of stabs; or a longer attack comprising many stabs between which the pain does not completely resolve, thus giving a “saw-tooth” phenomenon with attacks lasting many minutes. Each pattern may be seen in the context of an underlying continuous head pain. Characteristics that lead to a suspected diagnosis of SUNCT are the cutaneous (or other) triggers of attacks, a lack of refractory period to triggering between attacks, and the lack of a response to indomethacin. Apart from trigeminal sensory disturbance, the neurologic examination is normal in primary SUNCT.

The diagnosis of SUNCT/SUNA is often confused with trigeminal neuralgia (TN) particularly in first-division TN (Chap. 455).",At what daily dose of indomethacin does secondary paroxysmal hemicrania become more likely?
14,1b4240d4-18a2-45c0-9063-9eff8db29a21,"Vertex waves and sleep spindles are no longer evident.

If the eyelids are raised gently during sleep, the globes are usually seen to be exotropic and the pupils are even smaller than before, but with retained responses to light. An additional stage of the sleep cycle, which follows the others intermittently throughout the night, is associated with further reduction in muscle tone except in the extraocular muscles and with bursts of rapid eye movement; thus the term rapid eye movement (REM) sleep designates this stage. The EEG becomes desynchronized, that is, it has a low-voltage, high-frequency discharge pattern. The first three stages of sleep are called nonrapid eye movement (NREM) sleep or synchronized sleep; the last stage, in addition to REM sleep, is variously designated as fast-wave, nonsynchronized, or desynchronized sleep. Figure 18-2 illustrates these features.

The American Academy of Sleep Medicine now recommends the following nomenclature: stage W (wakefulness), stage N1 (non-REM sleep, or NREM 1, formerly stage 1), stage N2 (NREM 2, formerly stage 2), stage N3 (NREM 3, combining former stages 3 and 4—or slow-wave sleep), and stage R (REM sleep) (Fig. 18-3). The essential difference between this new nomenclature and the one formerly used by neurologists is that stage N3 now represents slow-wave sleep, replacing stage 3 and stage 4 sleep, composed of an increasing proportion of high-amplitude delta waves (0.75 μV, 0.5 to 2 Hz) in the EEG (Table 18-1).

In the first portion of a typical night’s sleep, the normal young and middle-aged adult passes successively through stages N1, N2, N3, and R (REM) sleep. After about 70 to 100 min, a large proportion of which consists of stage N3 sleep, the first REM period occurs, usually heralded briefly by a transient increase in body movements and a shift in the EEG pattern from that of stage N3 to stage N2. This NREM–REM cycle is repeated at about the same interval four to six times during the night, depending on the total duration of sleep.","According to the American Academy of Sleep Medicine, what is the new nomenclature for the sleep stage that combines the former stages 3 and 4?"
15,7566ef27-76ac-4bbc-8ad8-9ecac2ce1851,"C. Placental Transporters

During the last decade, many drug transporters have been identified in the placenta, with increasing recognition of their effects on drug transfer to the fetus. For example, the P-glycoprotein transporter encoded by the MDR1 gene pumps back into the maternal circulation a variety of drugs, including cancer drugs (eg, vinblastine, doxorubicin) and other agents. Similarly, viral protease inhibitors, which are substrates to P-glycoprotein, achieve only low fetal concentrations—an effect that may increase the risk of vertical HIV infection from the mother to the fetus. The hypoglycemic drug glyburide has lower plasma levels in the fetus as compared with the mother. Recent work has documented that this agent is effluxed from the fetal circulation by the BCRP transporter as well as by the MRP3 transporter located in the placental brush border membrane. In addition, very high maternal protein binding of glyburide (>98.8%) also contributes to lower fetal levels as compared with maternal concentrations.

D. Protein Binding

The degree to which a drug is bound to plasma proteins (particularly albumin) may also affect the rate of transfer and the amount transferred. However, if a compound is very lipid-soluble (eg, some anesthetic gases), it will not be affected greatly by protein binding. Transfer of these more lipid-soluble drugs and their overall rates of equilibration are more dependent on (and proportionate to) placental blood flow. This is because very lipid-soluble drugs diffuse across placental membranes so rapidly that their overall rates of equilibration do not depend on the free drug concentrations becoming equal on both sides. If a drug is poorly lipid-soluble and is ionized, its transfer is slow and will probably be impeded by its binding to maternal plasma proteins. Differential protein binding is also important since some drugs exhibit greater protein binding in maternal plasma than in fetal plasma because of a lower binding affinity of fetal proteins. This has been shown for sulfonamides, barbiturates, phenytoin, and local anesthetic agents.","Which placental transporters efflux glyburide from the fetal circulation, and how does its high maternal protein binding affect fetal drug levels?"
16,2dce4954-2fd0-4b2f-96ec-8304cf227e7d,"Lazarus and colleagues (2012) reported the indings of the international multicenter Controlled Antenatal Thyroid Screening (CATS) study. his study evaluated prenatal thyroid screening and randomized treatment of both subclinical hypothyroidism and isolated maternal hypothyroxinemia. They rior in the treated pregnancies.

Despite these indings, the unanswered question concerned whether treatment of subclinical hypothyroidism would miti gate any or all of these reported adverse outcomes. To address this, the Maternal-Fetal Medicine Units Network screened more than 97,000 pregnant women for thyroid disorders and reported that 3.3 percent had subclinical hypothyroid ism. hese 677 women were randomly assigned to thyroxine replacement therapy or placebo. As reported by Casey and col leagues (2017), and shown in Table 58-5, maternal adverse pregnancy outcomes or cognitive development in the ofspring at 5 years did not difer between groups. Annual developmental disorder results also did not difer.

Screening in Pregnancy. Because of the findings in the studies from 1999 cited above, some professional organizations began to recommend routine prenatal screening and treatment for subclinical hypothyroidism. Consequent to the Lazarus study, however, clinical practice guidelines from the Endocrine Society, the American hyroid Association, and the American Association of Clinical Endocrinologists uniformly recommended screening only those at greater risk during pregnancy (De Groot, 2012; Garber, 2012). his has been and still is the recommendation of the American College of Obstetricians and Gynecologists (2017). he indings of Casey and colleagues (2017) further buttress these recommendations.

Women with low serum free T4 values but a normal-range TSH level are considered to have isolated matenal hypothyroxinemia.

Its incidence in two large trials was l.3 to 2.1 percent (Casey, 2007; Cleary-Goldman, 2008). As shown in Figure 58-2, unlike in subclinical hypothyroidism, these women had a low preva lence of antithyroid antibodies.

Evolution of the knowledge of this thyroid disorder was similar to that seen with subclinical hypothyroidism.",What percentage of pregnant women screened by the Maternal-Fetal Medicine Units Network were found to have subclinical hypothyroidism?
17,18f92e98-3bf6-40a9-9334-d3e8886919a2,"Like somatic sensory fibers that come from the periphery, somatic motor fibers can be very long. They extend from cell bodies in the spinal cord to the muscle cells they innervate.

Because cells from a specific somite develop into the dermis of the skin in a precise location, somatic sensory fibers originally associated with that somite enter the posterior region of the spinal cord at a specific level and become part of one specific spinal nerve (Fig. 1.36). Each spinal nerve therefore carries somatic sensory information from a specific area of skin on the surface of the body. A dermatome is that area of skin supplied by a single spinal cord level, or on one side, by a single spinal nerve.

There is overlap in the distribution of dermatomes, but usually a specific region within each dermatome can be identified as an area supplied by a single spinal cord level. Testing touch in these autonomous zones in a conscious patient can be used to localize lesions to a specific spinal nerve or to a specific level in the spinal cord.

Somatic motor nerves that were originally associated with a specific somite emerge from the anterior region of the spinal cord and, together with sensory nerves from the same level, become part of one spinal nerve. Therefore each spinal nerve carries somatic motor fibers to muscles that originally developed from the related somite. A myotome is that portion of a skeletal muscle innervated by a single spinal cord level or, on one side, by a single spinal nerve.

Myotomes are generally more difficult to test than dermatomes because each skeletal muscle in the body often develops from more than one somite and is therefore innervated by nerves derived from more than one spinal cord level (Fig. 1.37).

Testing movements at successive joints can help in localizing lesions to specific nerves or to a specific spinal cord level. For example:

Muscles that move the shoulder joint are innervated mainly by spinal nerves from spinal cord levels C5 and C6.

Muscles that move the elbow are innervated mainly by spinal nerves from spinal cord levels C6 and C7.

Muscles in the hand are innervated mainly by spinal nerves from spinal cord levels C8 and T1.",Which spinal cord levels primarily innervate the muscles that move the shoulder joint?
18,37d299cb-c76a-4e82-b0cc-98c50a3a3b6a,"(A) the INACTIVE, GDP-recycling of used eif2 by a guanine BOUND FORM nucleotide exchange factor (eif2B). (B) eif2 (B) INACTIVE COMPLEX rates by tying up eif2B.

scanning ribosome initiation complex and causing the ribosome to translate the uORF and dissociate from the mRNA before it reaches the bona fide protein-coding sequence.

When the activity of a general translation factor (such as the eIF2 discussed above) is reduced, one might expect that the translation of all mRNAs would be reduced equally. Contrary to this expectation, however, the phosphorylation of eIF2 can have selective effects, even enhancing the translation of specific mRNAs that contain uORFs. This can enable cells, for example, to adapt to starvation for specific nutrients by shutting down the synthesis of all proteins except those that are required for synthesis of the missing nutrients. The details of this mechanism have been worked out for a specific yeast mRNA that encodes a protein called Gcn4, a transcription regulator that activates many genes that encode proteins that are important for amino acid synthesis.

The Gcn4 mRNA contains several short uORFs, and when amino acids are abundant, ribosomes translate the uORFs and generally dissociate before they reach the Gcn4 coding region. A global decrease in eIF2 activity brought about by amino acid starvation makes it more likely that a scanning small ribosomal subunit will move across the uORFs (without translating them) before it acquires a molecule of eIF2 (see Figure 6–70). Such a ribosomal subunit is then free to initiate translation on the actual Gcn4 sequences. The increased level of this transcription regulator increases production of the amino acid biosynthetic enzymes.

Although approximately 90% of eukaryotic mRNAs are translated beginning with the first AUG downstream from the 5ʹ cap, certain AUGs, as we saw in the previous section, can be skipped over during the scanning process. In this section, we discuss yet another way that cells can initiate translation at positions distant from the 5ʹ end of the mRNA, using a specialized type of RNA sequence called an internal ribosome entry site (IRES).",How does amino acid starvation increase translation of the Gcn4 mRNA despite a global decrease in eIF2 activity?
19,a1e73aef-135d-44ef-a6c5-c371354e14e0,"J Neuropathol Exp Neurol 59:525, 2000.

Eames RA, Lange LS: Clinical and pathologic study of ischaemic neuropathy. J Neurol Neurosurg Psychiatry 30:215, 1967.

Earl CJ, Fullerton PM, Wakefield GS, Schutta HS: Hereditary neuropathy with liability to pressure palsies. Q J Med 33:481, 1964.

Ecker AD, Woltman WH: Meralgia paresthetica: A report of one hundred and fifty cases. JAMA 110:1650, 1938.

Eftimov F, Veremuelen M, Doorn PA, et al: Long-term remission of CIDP after pulsed dexamethasone or short-term prednisolone treatment. Neurology 78:1079, 2012.

England JD, Asbury AK: Peripheral neuropathy. Lancet 363:2151, 2004.

England JD, Gronseth GS, Franklin G, et al: Evaluation of distal symmetric polyneuropathy: The role of laboratory and genetic testing (an evidence-based review). Muscle Nerve 39:116, 2009.

Faber CG, Hoeijmakers JG, Ahn HS, et al: Gain of function Nav1.7 mutations in idiopathic small fiber neuropathy. Ann Neurol 71:26, 2012.

Fagerberg SE: Diabetic neuropathy: A clinical and histological study on the significance of vascular affections. Acta Med Scand 164(Suppl 345):1, 1959.

Falls HF, Jackson JH, Carey JG, et al: Ocular manifestations of hereditary primary systemic amyloidosis. Arch Ophthalmol 54:660, 1955.

Farcas P, Avnum L, Frisher S, et al: Efficacy of repeated intravenous immunoglobulin in severe unresponsive Guillain-Barré syndrome. Lancet 350:1747, 1997.

Feasby TE, Burton SR, Hahn AF: Obstetrical lumbosacral plexus injuries. Muscle Nerve 15:937, 1992.",Which 1938 JAMA article reported on 150 cases of meralgia paresthetica?
20,fb25716a-f91d-48a8-bea7-9b6204d60974,"Maintained principally by transovarian transmission from one generation of ticks to the next, R. rickettsii can be acquired by uninfected ticks through the ingestion of a blood meal from rickettsemic small mammals.

Humans become infected during tick season (in the Northern Hemisphere, from May to September), although some cases occur in winter. The mortality rate was 20–25% in the preantibiotic era and remains at ~3–5%, principally because of delayed diagnosis and treatment. The case-fatality ratio increases with each decade of life above age 20.

Pathogenesis R. rickettsii organisms are inoculated into the dermis along with secretions of the tick’s salivary glands after ≥6 h of feeding.

The rickettsiae spread lymphohematogenously throughout the body course and treated appropriately as outpatients. In the tertiary-care and infect numerous foci of contiguous endothelial cells. The dose-setting, RMSF is all too often recognized only when late severe dependent incubation period is ~1 week (range, 2–14 days). Occlusive manifestations, developing at the end of the first week or during the thrombosis and ischemic necrosis are not the fundamental pathologic second week of illness in patients without appropriate treatment, bases for tissue and organ injury. Instead, increased vascular perme-prompt return to a physician or hospital and admission to an intenability, with resulting edema, hypovolemia, and ischemia, is responsi-sive care unit. ble. Consumption of platelets results in thrombocytopenia in 32–52% The progressive nature of the infection is clearly manifested in the of patients, but disseminated intravascular coagulation with hypofi-skin. Rash is evident in only 14% of patients on the first day of illness brinogenemia is rare. Activation of platelets, generation of thrombin, and in only 49% during the first 3 days. Macules (1–5 mm) appear first and activation of the fibrinolytic system all appear to be homeostatic on the wrists and ankles and then on the remainder of the extremities physiologic responses to endothelial injury. and the trunk.",What percentage of patients with Rocky Mountain spotted fever have a rash on the first day of illness?
21,febe134d-b465-4ae5-9a61-0bd4f71fceec,"Parsons M, Spratt N, Bivard A, et al: A randomized trial of tenecteplase versus alteplase for acute ischemic stroke. N Engl J Med 366:1099, 2012.

Patel MR, Mahaffey KW, Garg J, et al and the ROCKET AF

Steering Committee for the ROCKET AF Investigators: Rivaroxaban versus warfarin in nonvalvular atrial fibrillation. N Engl J Med 365:883, 2011.

Percheron G: Les artéres du thalamus humain: II. Artéres et territoires thalamiques paramédians de l’artére basilaire communicante. Rev Neurol 132:309, 1976.

Pessin MS, Duncan GW, Mohr JP, Poskanzer DC: Clinical and angiographic features of carotid transient ischemic attacks. N Engl J Med 296:358, 1977.

Pessin MS, Panis W, Prager RJ, et al: Auscultation of cervical and ocular bruits in extracranial carotid occlusive disease: A clinical and angiographic study. Stroke 14:246, 1983.

Petit H, Rousseaux M, Clarisse J, Delafosse A: Troubles oculocephalomoteurs et infarctus thalamo-sous-thalamique bilateral. Rev Neurol 137:709, 1981.

Petitti DB, Sidney S, Bernstein A, et al: Stroke in users of low-dose oral contraceptives. N Engl J Med 335:8, 1996.

Phillips PC, Lorentsen KJ, Shropshire LC, Ahn HS: Congenital odontoid aplasia and posterior circulation stroke in childhood. Ann Neurol 23:410, 1988.

Plum F: What causes infarction in ischemic brain? The Robert Wartenberg lecture. Neurology 33:222, 1983.

Porter RW, Detwiler PW, Spetzler RF, et al: Cavernous malformations of the brainstem: Experience with 100 patients.","Which randomized trial compared tenecteplase versus alteplase for acute ischemic stroke, and in which journal and year was it published?"
22,db4ffe73-d6f8-4e59-b1dc-91d77ff0db15,"In carefully selected patients with a functioning gallbladder and with radiolucent stones <10 mm in diameter, complete dissolution can be achieved in ∼50% of patients within 6 months to 2 years. For good results within a reasonable time period, this therapy should be limited to radiolucent stones smaller than 5 mm in diameter. The dose of UDCA should be 10–15 mg/kg per day. Stones larger than 10 mm in size rarely dissolve. Pigment stones are not responsive to UDCA therapy. Probably ≤10% of patients with symptomatic cholelithiasis are candidates for such treatment. However, in addition to the vexing problem of recurrent stones (30–50% over 3–5 years of follow-up), there is also the factor of taking an expensive drug for up to 2 years. The advantages and success of laparoscopic cholecystectomy have largely reduced the role of gallstone dissolution to patients who wish to avoid or are not candidates for elective cholecystectomy. However, patients with cholesterol gallstone disease who develop recurrent choledocholithiasis after cholecystectomy should be on long-term treatment with UDCA.

ACUTE AND CHRONIC CHOLECYSTITIS Acute Cholecystitis Acute inflammation of the gallbladder wall usually follows obstruction of the cystic duct by a stone. Inflammatory response can be evoked by three factors: (1) mechanical inflammation produced by increased intraluminal pressure and distention with resulting ischemia of the gallbladder mucosa and wall, (2) chemical inflammation caused by the release of lysolecithin (due to the action of phospholipase on lecithin in bile) and other local tissue factors, and (3) bacterial inflammation, which may play a role in 50–85% of patients with acute cholecystitis. The organisms most frequently isolated by culture of gallbladder bile in these patients include Escherichia coli, Klebsiella spp., Streptococcus spp., and Clostridium spp.

Acute cholecystitis often begins as an attack of biliary pain that progressively worsens. Approximately 60–70% of patients report having experienced prior attacks that resolved spontaneously.",What is the recommended daily dose of ursodeoxycholic acid (UDCA) for gallstone dissolution therapy?
23,f623405b-a1d7-4285-ac61-01cc086c3c44,"The base of this raphe is continuous with the frenulum of the glans, which is a median fold of skin that attaches the glans to more loosely attached skin proximal to the glans. The base of the glans is expanded to form a raised circular margin (the corona of the glans); the two lateral ends of the corona join inferiorly at the midline raphe of the glans. The depression posterior to the corona is the neck of the glans. Normally, a fold of skin at the neck of the glans is continuous anteriorly with thin skin that tightly adheres to the glans and posteriorly with thicker skin loosely attached to the body. This fold, known as the prepuce, extends forward to cover the glans. The prepuce is removed during male circumcision, leaving the glans exposed.

Superficial fascia of the urogenital triangle

The superficial fascia of the urogenital triangle is continuous with similar fascia on the anterior abdominal wall.

As with the superficial fascia of the abdominal wall, the perineal fascia has a membranous layer on its deep surface. This membranous layer (Colles’ fascia), is attached: posteriorly to the perineal membrane and therefore does not extend into the anal triangle (Fig. 5.75), and to the ischiopubic rami that form the lateral borders of the urogenital triangle and therefore does not extend into the thigh (Fig. 5.75).

It defines the external limits of the superficial perineal pouch, lines the scrotum or labia, and extends around the body of the penis and clitoris.

Anteriorly, the membranous layer of fascia is continuous over the pubic symphysis and pubic bones with the membranous layer of fascia on the anterior abdominal wall. In the lower lateral abdominal wall, the membranous layer of abdominal fascia is attached to the deep fascia of the thigh just inferior to the inguinal ligament.

Because the membranous layer of fascia encloses the superficial perineal pouch and continues up the anterior abdominal wall, fluids or infectious materials that accumulate in the pouch can track out of the perineum and onto the lower abdominal wall.",To which structures is the membranous layer of the superficial fascia (Colles’ fascia) attached that prevents it from extending into the anal triangle and into the thigh?
24,5af59ede-cf08-4ac0-867b-291d1aaa0e96,"Tumor infiltration and invasion, as well as tumor thrombus within the middle thyroid or jugular veins, may be apparent at operation.Surgical Treatment and Prognosis. Patients diagnosed by FNAB as having a follicular lesion should undergo thyroid lobectomy because at least 70% to 80% of these patients will have benign adenomas. Total thyroidectomy is recommended by some surgeons in older patients with follicular lesions  >4 cm because of the higher risk of cancer in this setting (50%) and certainly should be performed in patients with atypia on FNA, a family history of thyroid cancer, or a history of radiation exposure. Intraoperative frozen-section examination usually is not helpful, but it should be performed when there is evidence of capsular or vascular invasion or when adjacent lymphadenopa-thy is present. Total thyroidectomy should be performed when thyroid cancer is diagnosed. There is debate among experts about whether patients with minimally invasive follicular can-cers should undergo completion thyroidectomy because the prognosis is so good in these patients. A diagnosis of frankly invasive carcinoma or follicular carcinoma with angioinvasion, with or without capsular invasion, necessitates completion of total thyroidectomy primarily so that 131I can be used to detect and ablate metastatic disease. Prophylactic nodal dissection is not needed because nodal involvement is infrequent, but in the unusual patient with nodal metastases, therapeutic neck dissec-tion is recommended. Prophylactic central neck dissection may be considered in patients with large tumors. The cumulative mortality from follicular thyroid cancer is approximately 15% at 10 years and 30% at 20 years. Poor long-term prognosis is predicted by age over 50 years old at presentation, tumor size >4 cm, higher tumor grade, marked vascular invasion, extrathy-roidal invasion, and distant metastases at the time of diagnosis.Hürthle Cell Carcinoma Hürthle cell carcinomas account for approximately 3% of all thyroid malignancies and, under the World Health Organization classification, are considered to be a subtype of follicular thyroid cancer. Hürthle cell cancers also are characterized by vascular or capsular invasion and, there-fore, cannot be diagnosed by FNAB.",What is the cumulative mortality rate for follicular thyroid cancer at 10 years according to the passage?
25,1d2579b8-4a7a-4d2b-9bc9-415d24a613e8,"Totally endoscopic approaches also have been described, via the supraclavicular, anterior chest, axillary, and breast approach. The axillary, anterior chest, and breast approaches eliminate the skin incision in the neck but are more invasive. The endoscopic approaches can also be performed with the assistance of robotic techniques. More recently, there have been studies of transoral robotic-assisted thyroidectomy in which the thyroid is approached through the oral cavity.66 These methods are feasible, but clear benefits over the “tradi-tional” open approach via small neck incisions have not been established.4Typically, endoscopic thyroidectomies are performed under general anesthesia. For the axillary approach, a 30-mm skin incision is made in the axilla, and 12-mm and 5-mm trocars are inserted through this incision (Fig. 38-22F). An additional 5-mm trocar is inserted adjacent to the incision. For the anterior chest approach, a 12-mm skin incision is made in the skin of the anterior chest approximately 3 to 5 cm below the border of the ipsilateral clavicle. Two additional 5-mm trocars are inserted by endoscopic guidance below the ipsilateral clavicle, and carbon dioxide (CO2) is then insufflated up to a pressure of 4 mmHg to facilitate creation of a working space. The anterior border of the sternocleidomastoid muscle is then separated from the ster-nohyoid muscle to expose the sternothyroid muscle. The thy-roid gland is exposed by splitting the sternothyroid muscle. The lower pole is retracted upward and dissected from the adipose tissue to identify the RLN. As the RLN is exposed, Berry’s liga-ment is exposed and incised with a 5-mm clip or laparoscopic coagulating shears. The upper pole of the thyroid gland is sepa-rated from the cricothyroid muscle, and the external branch of the superior laryngeal nerve can be identified during this maneu-ver.","For the anterior chest approach to endoscopic thyroidectomy, how far below the clavicle is the skin incision made, and what CO₂ insufflation pressure is used to create the working space?"
26,c86bc134-26ee-4986-869d-88fcd48d89ec,"Transcervical, or ascending, infections are caused by spread of microbes from the cervicovaginal canal and may be acquired in utero or during birth. Most bacterial infections (e.g., α-hemolytic streptococcal infection) and a few viral infections (e.g., herpes simplex) are acquired in this manner. In general, the fetus acquires the infection by “inhaling” infected amniotic fluid into the lungs or by passing through an infected birth canal during delivery. Fetal infection usually is associated with inflammation of the placental membranes (chorioamnionitis) and inflammation of the umbilical cord (funisitis). This mode of spread is typical for pneumonia and, in severe cases, sepsis and meningitis.

Transplacental infections gain access to the fetal bloodstream by crossing the placenta via the chorionic villi, and may occur at any time during gestation or occasionally, as may be the case with hepatitis B and human immunodeficiency virus, at the time of delivery via maternal-to-fetal transfusion. Most parasitic (e.g., toxoplasma, malaria) and viral infections, and a few bacterial infections (i.e., Listeria and Treponema), follow this mode of hematogenous transmission. The clinical manifestations of these infections are highly variable, depending largely on the gestational timing and the microorganism involved. The most important trans-placental infections can be conveniently remembered by the acronym TORCH. The elements of the TORCH complex are Toxoplasma (T), rubella virus (R), cytomegalovirus (C), herpesvirus (H), and any of a number of other (O) microbes such as Treponema pallidum. These agents are grouped together because they may evoke similar clinical and pathologic manifestations. TORCH infections occurring early in gestation may cause chronic sequelae in the child, including growth restriction, mental retardation, cataracts, and congenital cardiac anomalies, whereas infections later in pregnancy result primarily in tissue injury accompanied by inflammation (encephalitis, chorioretinitis, hepatosplenomegaly, pneumonia, and myocarditis).",Which bacterial infection is cited in the passage as an example of a transcervical (ascending) infection?
27,ad787dc1-978a-4481-9c1c-cadf8f49afee,"3.22). [Note: The RBC of newborns have approximately half the capacity of those of adults to reduce methemoglobin.] Additionally, rare mutations in the α-or β-globin chain can cause the production of HbM, an abnormal hemoglobin that is resistant to the reductase. The methemoglobinemias are characterized by “chocolate cyanosis” (a blue coloration of the skin and mucous membranes and brown-colored blood) as a result of the dark-colored methemoglobin. Symptoms are related to the degree of tissue hypoxia and include anxiety, headache, and dyspnea. In rare cases, coma and death can occur. Treatment is with methylene blue, which is oxidized as Fe3+ is reduced.

E. Thalassemias

The thalassemias are hereditary hemolytic diseases in which an imbalance occurs in the synthesis of globin chains. As a group, they are the most common single-gene disorders in humans. Normally, synthesis of the αand β-globin chains is coordinated, so that each α-globin chain has a βglobin chain partner. This leads to the formation of α2β2 (HbA). In the thalassemias, the synthesis of either the α-or the β-globin chain is defective, and hemoglobin concentration is reduced. A thalassemia can be caused by a variety of mutations, including entire gene deletions, or substitutions or deletions of one of many nucleotides in the DNA. [Note: Each thalassemia can be classified as either a disorder in which no globin chains are produced (α0-or β0-thalassemia), or one in which some chains are synthesized but at a reduced level (α+-or β+-thalassemia).] 1.

β-Thalassemias: In these disorders, synthesis of β-globin chains is decreased or absent, typically as a result of point mutations that affect the production of functional mRNA. However, α-globin chain synthesis is normal. Excess α-globin chains cannot form stable tetramers and so precipitate, causing the premature death of cells initially destined to become mature RBC.",Why do newborns have approximately half the capacity of adult red blood cells to reduce methemoglobin?
